speaker	pillai	pair	variety	type	element
F2	0.391684709416596	o-(i)o	Xiamen	rising	offset
F3	0.223276743046915	o-(i)o	Xiamen	rising	offset
F4	0.267002590537292	o-(i)o	Xiamen	rising	offset
F5	0.158347348166645	o-(i)o	Xiamen	rising	offset
M1	0.359933158634171	o-(i)o	Xiamen	rising	offset
M2	0.454284514523743	o-(i)o	Xiamen	rising	offset
M3	0.225969028882381	o-(i)o	Xiamen	rising	offset
M4	0.339063428040016	o-(i)o	Xiamen	rising	offset
M5	0.816048120712932	o-(i)o	Xiamen	rising	offset
F1	0.628837103587661	i-i(e)	Cangnan	rising	onset
F2	0.152716712808202	i-i(e)	Cangnan	rising	onset
F3	0.674571350166619	i-i(e)	Cangnan	rising	onset
F4	0.405373450290171	i-i(e)	Cangnan	rising	onset
F5	0.504897036430936	i-i(e)	Cangnan	rising	onset
M1	0.701701703997488	i-i(e)	Cangnan	rising	onset
M2	0.378154900601675	i-i(e)	Cangnan	rising	onset
M3	0.721965998628805	i-i(e)	Cangnan	rising	onset
M4	0.560825843068535	i-i(e)	Cangnan	rising	onset
M5	0.705465804151743	i-i(e)	Cangnan	rising	onset
F1	0.863761754250976	e-(i)e	Cangnan	rising	offset
F2	0.810191925783412	e-(i)e	Cangnan	rising	offset
F3	0.520304044759705	e-(i)e	Cangnan	rising	offset
F4	0.893827404304601	e-(i)e	Cangnan	rising	offset
F5	0.776757566164232	e-(i)e	Cangnan	rising	offset
M1	0.926204960942148	e-(i)e	Cangnan	rising	offset
M2	0.513422052852239	e-(i)e	Cangnan	rising	offset
M3	0.606798512499379	e-(i)e	Cangnan	rising	offset
M4	0.70135304158781	e-(i)e	Cangnan	rising	offset
M5	0.70554968595183	e-(i)e	Cangnan	rising	offset
F1	0.447500515732585	i-i(ɔ)	Cangnan	rising	onset
F2	0.869966053221236	i-i(ɔ)	Cangnan	rising	onset
F3	0.49620173501639	i-i(ɔ)	Cangnan	rising	onset
F4	0.768621420985415	i-i(ɔ)	Cangnan	rising	onset
F5	0.539419612255793	i-i(ɔ)	Cangnan	rising	onset
